Papermaking,1800,0
,1801,0
,1802,0
,1803,0
,1804,0
,1805,0
,1806,0
,1807,0
,1808,0
,1809,4.416143895014102e-9
,1810,4.416143895014102e-9
,1811,4.416143895014102e-9
,1812,0
,1813,0
,1814,0
,1815,0
,1816,0
,1817,0
,1818,0
,1819,0
,1820,0
,1821,1.2290462721627666e-9
,1822,1.2290462721627666e-9
,1823,1.2290462721627666e-9
,1824,0
,1825,0
,1826,0
,1827,0
,1828,2.2689947698495416e-9
,1829,2.2689947698495416e-9
,1830,4.3962828932819775e-9
,1831,2.127288123432436e-9
,1832,2.127288123432436e-9
,1833,0
,1834,1.875339439294521e-9
,1835,1.875339439294521e-9
,1836,1.875339439294521e-9
,1837,0
,1838,0
,1839,0
,1840,0
,1841,0
,1842,1.6496201441877172e-9
,1843,1.6496201441877172e-9
,1844,1.6496201441877172e-9
,1845,0
,1846,7.509732835586647e-10
,1847,7.509732835586647e-10
,1848,7.509732835586647e-10
,1849,0
,1850,1.8597529442369403e-9
,1851,1.8597529442369403e-9
,1852,1.8597529442369403e-9
,1853,0
,1854,4.402193868694819e-9
,1855,1.0022593421865622e-8
,1856,1.29543380467112e-8
,1857,1.0397677385753923e-8
,1858,7.043528279145524e-9
,1859,4.111783654299946e-9
,1860,4.425188807980855e-9
,1861,2.15893836141845e-9
,1862,2.955819737119706e-9
,1863,2.1487081743506073e-9
,1864,2.1487081743506073e-9
,1865,1.3518267986493508e-9
,1866,6.427276488807365e-10
,1867,2.468910853536954e-9
,1868,3.6630304715383013e-9
,1869,3.0203028226575648e-9
,1870,1.1941196180013474e-9
,1871,0
,1872,0
,1873,0
,1874,2.5884991927682677e-9
,1875,3.080998419354349e-9
,1876,3.080998419354349e-9
,1877,1.5517058749026091e-9
,1878,1.0592066483165279e-9
,1879,1.484255792346308e-9
,1880,2.114406390714881e-9
,1881,2.114406390714881e-9
,1882,1.6893572466851008e-9
,1883,7.561674989868076e-10
,1884,1.1450456878966027e-9
,1885,1.1450456878966027e-9
,1886,6.624334784414525e-9
,1887,6.235456595504729e-9
,1888,7.54578029689886e-9
,1889,1.31032370139413e-9
,1890,1.7025956570530336e-9
,1891,4.665519785322185e-9
,1892,5.3936159612651595e-9
,1893,6.85398737765297e-9
,1894,2.919198475540933e-9
,1895,4.411376634353796e-9
,1896,3.850835983421064e-9
,1897,7.719394605013955e-9
,1898,6.8511463169329545e-9
,1899,9.038883123461497e-9
,1900,1.3905951649443674e-8
,1901,2.1705044576473636e-8
,1902,2.5859374493582738e-8
,1903,2.05798903844349e-8
,1904,1.2662149847149825e-8
,1905,1.6241761121212523e-8
,1906,5.311067674540482e-8
,1907,7.845682385247225e-8
,1908,7.295763282400003e-8
,1909,4.2627559556270476e-8
,1910,3.7267433583565435e-8
,1911,5.833342224074537e-8
,1912,6.593574397584234e-8
,1913,6.660487391248655e-8
,1914,5.523395193070731e-8
,1915,4.8074536351805364e-8
,1916,3.661031537186924e-8
,1917,2.7294251007485098e-8
,1918,3.4114015316314785e-8
,1919,4.505266678241545e-8
,1920,5.101377572221585e-8
,1921,4.190880117012815e-8
,1922,2.8652012910394358e-8
,1923,2.9069943489427413e-8
,1924,2.35734235095227e-8
,1925,1.9263883525392583e-8
,1926,1.0903013603069667e-8
,1927,1.6978939143541538e-8
,1928,1.6938265308870843e-8
,1929,2.2198153833604312e-8
,1930,1.819600529510505e-8
,1931,1.727665092469503e-8
,1932,1.7730793130018203e-8
,1933,2.468466645903315e-8
,1934,2.9049918026657906e-8
,1935,2.4780405875427885e-8
,1936,2.7635702911273558e-8
,1937,4.2359976859529525e-8
,1938,4.507559362802264e-8
,1939,4.772099870820057e-8
,1940,3.686340595739542e-8
,1941,5.2506279028345183e-8
,1942,8.890289867243457e-8
,1943,9.014671557376157e-8
,1944,1.1480819495091055e-7
,1945,7.61254762930245e-8
,1946,9.123341963383307e-8
,1947,5.20783996667736e-8
,1948,4.841966116941876e-8
,1949,3.4986212445649777e-8
,1950,4.1988471366494196e-8
,1951,5.0552804016964124e-8
,1952,4.788340272436168e-8
,1953,4.7102209540147065e-8
,1954,4.199258777741003e-8
,1955,4.443036161205782e-8
,1956,4.0055819994222475e-8
,1957,5.049404094847887e-8
,1958,5.6600884571859446e-8
,1959,6.924450701717433e-8
,1960,5.350872693081025e-8
,1961,4.358033874514907e-8
,1962,3.410751444240153e-8
,1963,4.1203574478269424e-8
,1964,4.7933416643293945e-8
,1965,4.8301805814314015e-8
,1966,6.13583068798107e-8
,1967,5.964491123222615e-8
,1968,5.87049366155649e-8
,1969,4.6191824291478646e-8
,1970,6.392968051234978e-8
,1971,7.39397023608035e-8
,1972,7.208714810265822e-8
,1973,6.560120269227809e-8
,1974,5.5205748121049204e-8
,1975,5.3826750464243865e-8
,1976,4.832971711721257e-8
,1977,6.477751313127555e-8
,1978,6.528284520375867e-8
,1979,6.698505927715814e-8
,1980,6.169156089678533e-8
,1981,6.880824088284498e-8
,1982,1.0420718865589151e-7
,1983,1.0644283558273553e-7
,1984,1.0732492701966596e-7
,1985,6.902187858296809e-8
,1986,5.966897020925899e-8
,1987,5.112616108249313e-8
,1988,4.974192554148734e-8
,1989,5.022096634850944e-8
,1990,5.371195517985446e-8
,1991,6.5035268429862e-8
,1992,6.674722759688241e-8
,1993,6.281338234733387e-8
,1994,5.8906079421679656e-8
,1995,5.425264741158268e-8
,1996,5.911427081173315e-8
,1997,5.3246199153515285e-8
,1998,5.2894242467497556e-8
,1999,6.183357352066803e-8
,2000,5.664626101520298e-8
,2001,5.722438937520261e-8
,2002,4.1107642327157613e-8
,2003,3.73950553485732e-8
,2004,3.634711139473742e-8
,2005,4.146057956215069e-8
,2006,3.892100863822634e-8
,2007,3.296739414793137e-8
,2008,2.4762145223178322e-8
Cai Lun,1800,0
,1801,0
,1802,0
,1803,0
,1804,0
,1805,0
,1806,0
,1807,0
,1808,0
,1809,0
,1810,0
,1811,0
,1812,0
,1813,0
