,1988,1.5254255932480493e-8
,1989,1.8049764941944584e-8
,1990,2.0763218107807308e-8
,1991,1.9917594684670803e-8
,1992,1.8409367659918036e-8
,1993,1.5923552254548667e-8
,1994,1.3253284247838337e-8
,1995,1.2273603910983866e-8
,1996,1.7346229489826708e-8
,1997,2.1041072884031564e-8
,1998,1.9734337423453024e-8
,1999,1.5174701791427953e-8
,2000,1.7119303900396215e-8
,2001,2.2149386917173313e-8
,2002,2.034499324565786e-8
,2003,1.896966376572588e-8
,2004,3.3347018775960656e-8
,2005,3.3145123090605466e-8
,2006,3.1020575441687015e-8
,2007,1.5129291893363945e-8
,2008,1.8013726510446304e-8
纸浆,1800,0
,1801,0
,1802,0
,1803,0
,1804,0
,1805,0
,1806,0
,1807,0
,1808,0
,1809,0
,1810,0
,1811,0
,1812,0
,1813,0
,1814,0
,1815,0
,1816,0
,1817,0
,1818,0
,1819,0
,1820,0
,1821,0
,1822,0
,1823,0
,1824,0
,1825,0
,1826,0
,1827,0
,1828,0
,1829,0
,1830,0
,1831,0
,1832,0
,1833,0
,1834,0
,1835,0
,1836,0
,1837,0
,1838,0
,1839,0
,1840,0
,1841,0
,1842,0
,1843,0
,1844,0
,1845,0
,1846,0
,1847,0
,1848,0
,1849,0
,1850,0
,1851,0
,1852,0
,1853,0
,1854,0
,1855,0
,1856,0
,1857,0
,1858,0
,1859,0
,1860,0
,1861,0
,1862,0
,1863,0
,1864,0
,1865,0
,1866,0
,1867,0
,1868,0
,1869,0
,1870,0
,1871,0
,1872,0
,1873,0
,1874,0
,1875,0
,1876,0
,1877,0
,1878,0
,1879,0
,1880,0
,1881,0
,1882,0
,1883,0
,1884,0
,1885,0
,1886,0
,1887,0
,1888,0
,1889,0
,1890,0
,1891,0
,1892,0
,1893,0
,1894,0
,1895,0
,1896,0
,1897,0
,1898,0
,1899,2.053491054236171e-7
,1900,2.053491054236171e-7
,1901,2.053491054236171e-7
,1902,0
,1903,0
,1904,0
,1905,0
,1906,0
,1907,0
,1908,0
,1909,0
,1910,0
,1911,0
,1912,0
,1913,0
,1914,0
,1915,0
,1916,0
,1917,0
,1918,0
,1919,0
,1920,0
,1921,0
,1922,0
,1923,0
,1924,0
,1925,0
,1926,0
,1927,0
,1928,0
,1929,0
,1930,0
,1931,3.999924729214399e-7
,1932,3.999924729214399e-7
,1933,3.999924729214399e-7
,1934,0
,1935,0
,1936,0
,1937,0
,1938,0
,1939,0
,1940,0
,1941,0
,1942,0
,1943,0
,1944,0
,1945,0
,1946,0
,1947,3.892412223649444e-7
,1948,0.0000011065142189181643
,1949,0.0000011065142189181643
,1950,7.172729965532199e-7
,1951,0
,1952,1.2439221563909086e-7
,1953,1.2439221563909086e-7
,1954,2.7233001749967417e-7
,1955,2.4202125814554165e-7
,1956,2.673694202333839e-7
,1957,1.869983208280246e-7
,1958,1.294918992774304e-7
,1959,1.6749209426810316e-7
,1960,1.1724836331457784e-7
,1961,8.067132858021371e-8
,1962,5.5388200100499794e-8
,1963,5.758099893190168e-8
,1964,2.538763688164636e-7
,1965,2.7855393961810176e-7
,1966,2.5903816928500117e-7
,1967,6.274279940043925e-8
,1968,0
,1969,3.889585305690465e-8
,1970,2.2919985080231223e-7
,1971,4.235458135326553e-7
,1972,0.0000010016744340646255
,1973,0.0000010148072722889385
,1974,0.0000013396317323592182
,1975,8.198806445610293e-7
,1976,7.210125071803001e-7
,1977,5.827399813066828e-7
,1978,7.447426545089305e-7
,1979,8.40587536761935e-7
,1980,6.880723049107473e-7
,1981,6.381854025979313e-7
,1982,6.742420358326248e-7
,1983,5.825479358160616e-7
,1984,5.433364359911744e-7
,1985,4.5725364354135917e-7
,1986,4.815978040066208e-7
,1987,4.619993584735009e-7
,1988,5.171811968314918e-7
,1989,6.161572040734123e-7
,1990,6.318500330356377e-7
,1991,6.355269116890364e-7
,1992,5.705102239517146e-7
,1993,6.338455591503589e-7
,1994,6.93143893689315e-7
